timestamp,request_number,status_code,latency_ms
2026-09-22T23:04:04.258628,1,200,179.503
2026-09-22T23:04:04.267319,2,200,190.216
2026-09-22T23:04:05.248153,3,200,168.534
2026-09-22T23:04:05.253212,4,200,158.263
2026-09-22T23:04:06.250670,5,200,156.362
2026-09-22T23:04:06.260875,6,200,151.726
2026-09-22T23:04:07.268583,7,200,162.17
2026-09-22T23:04:07.270043,8,200,148.861
2026-09-22T23:04:08.266859,9,200,149.517
2026-09-22T23:04:08.283190,10,200,150.323
2026-09-22T23:04:09.274449,11,200,144.414
2026-09-22T23:04:09.284095,12,200,138.569
2026-09-22T23:04:10.321042,13,200,162.509
2026-09-22T23:04:10.323569,14,200,178.536
2026-09-22T23:04:11.287548,15,200,132.901
2026-09-22T23:04:11.309377,16,200,139.506
2026-09-22T23:04:12.323720,17,200,164.194
2026-09-22T23:04:12.325031,18,200,150.026
2026-09-22T23:04:13.322325,19,200,154.774
2026-09-22T23:04:13.336495,20,200,153.783
2026-09-22T23:04:14.338668,21,200,147.872
2026-09-22T23:04:14.341223,22,200,166.461
2026-09-22T23:04:15.311141,23,200,123.832
2026-09-22T23:04:15.340582,24,200,137.212
2026-09-22T23:04:16.356291,25,200,156.327
2026-09-22T23:04:16.361682,26,200,145.727
2026-09-22T23:04:17.366463,27,200,153.09
2026-09-22T23:04:17.373919,28,200,144.703
2026-09-22T23:04:18.373124,29,200,145.142
2026-09-22T23:04:18.382849,30,200,138.928
2026-09-22T23:04:19.413599,31,200,154.394
2026-09-22T23:04:19.414498,32,200,170.891
2026-09-22T23:04:20.405499,33,200,152.563
2026-09-22T23:04:20.415066,34,200,146.017
2026-09-22T23:04:21.433182,35,200,152.137
2026-09-22T23:04:21.434060,36,200,167.673
2026-09-22T23:04:22.446327,37,200,166.836
2026-09-22T23:04:22.449112,38,200,154.424
2026-09-22T23:04:23.450440,39,200,159.194
2026-09-22T23:04:23.455768,40,200,148.889
2026-09-22T23:04:24.460645,41,200,143.823
2026-09-22T23:04:24.461032,42,200,158.946
2026-09-22T23:04:25.476427,43,200,161.673
2026-09-22T23:04:25.483398,44,200,153.766
2026-09-22T23:04:26.449592,45,200,133.079
2026-09-22T23:04:26.473891,46,200,141.533
2026-09-22T23:04:27.470949,47,200,144.738
2026-09-22T23:04:27.487209,48,200,145.029
2026-09-22T23:04:28.484791,49,200,145.896
2026-09-22T23:04:28.500535,50,200,146.834
2026-09-22T23:04:29.498575,51,200,150.793
2026-09-22T23:04:29.514895,52,200,151.145
2026-09-22T23:04:30.489265,53,200,130.728
2026-09-22T23:04:30.520686,54,200,145.772
2026-09-22T23:04:31.534459,55,200,161.149
2026-09-22T23:04:31.540546,56,200,151.552
2026-09-22T23:04:32.541561,57,200,155.558
2026-09-22T23:04:32.550498,58,200,149.49
2026-09-22T23:04:33.567748,59,200,168.119
2026-09-22T23:04:33.570146,60,200,152.115
