timestamp,cpu,memory,request_rate,network,latency,resource_count,cpu_lag_1,cpu_lag_2,cpu_lag_3,request_lag_1,request_lag_2,request_lag_3,cpu_rolling_mean_3,request_rolling_mean_3,cpu_change,request_change,target_cpu_5min
2026-01-01 00:03:00,31.1,44.67,45.81,5.72,19.13,2,31.72,30.76,30.4,42.36,42.88,40.0,31.19333333333333,43.68333333333334,-0.6199999999999974,3.450000000000003,31.01
2026-01-01 00:04:00,29.0,46.07,53.36,2.92,18.11,2,31.1,31.72,30.76,45.81,42.36,42.88,30.606666666666666,47.17666666666667,-2.1000000000000014,7.549999999999997,32.98
2026-01-01 00:05:00,30.06,40.03,51.52,3.24,20.57,2,29.0,31.1,31.72,53.36,45.81,42.36,30.05333333333333,50.23,1.0599999999999987,-1.8399999999999963,32.56
2026-01-01 00:06:00,29.05,44.17,49.83,5.79,19.75,2,30.06,29.0,31.1,51.52,53.36,45.81,29.37,51.56999999999999,-1.009999999999998,-1.6900000000000048,32.48
2026-01-01 00:07:00,29.1,44.13,57.34,3.98,21.18,2,29.05,30.06,29.0,49.83,51.52,53.36,29.403333333333336,52.89666666666667,0.05000000000000071,7.510000000000005,34.29
2026-01-01 00:08:00,31.01,48.63,60.19,6.47,20.46,2,29.1,29.05,30.06,57.34,49.83,51.52,29.72,55.78666666666667,1.9100000000000001,2.8499999999999943,33.33
2026-01-01 00:09:00,32.98,45.77,56.63,7.36,21.24,2,31.01,29.1,29.05,60.19,57.34,49.83,31.03,58.053333333333335,1.9699999999999953,-3.559999999999995,35.53
2026-01-01 00:10:00,32.56,47.16,58.41,4.36,18.42,2,32.98,31.01,29.1,56.63,60.19,57.34,32.18333333333333,58.41,-0.4199999999999946,1.779999999999994,33.32
2026-01-01 00:11:00,32.48,46.65,55.02,5.7,23.68,2,32.56,32.98,31.01,58.41,56.63,60.19,32.673333333333325,56.68666666666667,-0.0800000000000054,-3.3899999999999935,28.26
2026-01-01 00:12:00,34.29,42.74,51.89,2.68,20.93,2,32.48,32.56,32.98,55.02,58.41,56.63,33.11,55.10666666666666,1.8100000000000023,-3.1300000000000026,28.46
2026-01-01 00:13:00,33.33,48.2,52.55,5.6,22.05,2,34.29,32.48,32.56,51.89,55.02,58.41,33.36666666666667,53.153333333333336,-0.9600000000000009,0.6599999999999966,28.24
2026-01-01 00:14:00,35.53,47.87,42.38,3.9,20.14,2,33.33,34.29,32.48,52.55,51.89,55.02,34.38333333333333,48.94,2.200000000000003,-10.169999999999995,29.22
2026-01-01 00:15:00,33.32,47.68,33.96,3.6,21.46,2,35.53,33.33,34.29,42.38,52.55,51.89,34.06,42.96333333333333,-2.210000000000001,-8.420000000000002,28.53
2026-01-01 00:16:00,28.26,52.74,32.03,1.75,18.13,2,33.32,35.53,33.33,33.96,42.38,52.55,32.37,36.123333333333335,-5.059999999999999,-1.9299999999999997,27.51
2026-01-01 00:17:00,28.46,40.79,28.01,1.0,20.8,2,28.26,33.32,35.53,32.03,33.96,42.38,30.013333333333335,31.33333333333334,0.1999999999999993,-4.02,25.22
2026-01-01 00:18:00,28.24,48.33,30.94,3.38,19.55,2,28.46,28.26,33.32,28.01,32.03,33.96,28.320000000000004,30.326666666666668,-0.22000000000000242,2.9299999999999997,25.35
2026-01-01 00:19:00,29.22,44.65,27.52,1.0,20.3,2,28.24,28.46,28.26,30.94,28.01,32.03,28.639999999999997,28.823333333333334,0.9800000000000004,-3.4200000000000017,24.05
2026-01-01 00:20:00,28.53,45.56,21.86,1.38,21.18,2,29.22,28.24,28.46,27.52,30.94,28.01,28.663333333333338,26.77333333333333,-0.6899999999999977,-5.66,23.52
2026-01-01 00:21:00,27.51,44.54,31.04,4.05,18.1,2,28.53,29.22,28.24,21.86,27.52,30.94,28.42,26.80666666666667,-1.0199999999999996,9.18,25.08
2026-01-01 00:22:00,25.22,42.98,31.03,2.93,18.51,2,27.51,28.53,29.22,31.04,21.86,27.52,27.08666666666667,27.97666666666667,-2.2900000000000027,-0.00999999999999801,27.41
2026-01-01 00:23:00,25.35,42.73,32.48,5.68,20.25,2,25.22,27.51,28.53,31.03,31.04,21.86,26.026666666666667,31.516666666666666,0.13000000000000256,1.4499999999999957,27.27
2026-01-01 00:24:00,24.05,44.08,26.36,3.78,22.48,2,25.35,25.22,27.51,32.48,31.03,31.04,24.873333333333335,29.956666666666663,-1.3000000000000007,-6.119999999999997,24.69
2026-01-01 00:25:00,23.52,40.2,25.13,1.16,19.03,2,24.05,25.35,25.22,26.36,32.48,31.03,24.30666666666667,27.989999999999995,-0.5300000000000011,-1.2300000000000004,25.48
2026-01-01 00:26:00,25.08,45.28,27.27,2.36,20.4,2,23.52,24.05,25.35,25.13,26.36,32.48,24.21666666666667,26.25333333333333,1.5599999999999987,2.1400000000000006,27.02
2026-01-01 00:27:00,27.41,43.76,22.94,1.88,19.77,2,25.08,23.52,24.05,27.27,25.13,26.36,25.336666666666662,25.113333333333333,2.330000000000002,-4.329999999999998,26.08
2026-01-01 00:28:00,27.27,42.28,26.58,1.0,22.82,2,27.41,25.08,23.52,22.94,27.27,25.13,26.58666666666667,25.596666666666668,-0.14000000000000057,3.639999999999997,26.23
2026-01-01 00:29:00,24.69,42.74,25.05,1.0,16.82,2,27.27,27.41,25.08,26.58,22.94,27.27,26.456666666666667,24.856666666666666,-2.5799999999999983,-1.5299999999999976,26.24
2026-01-01 00:30:00,25.48,46.43,25.19,1.3,19.73,2,24.69,27.27,27.41,25.05,26.58,22.94,25.813333333333333,25.60666666666667,0.7899999999999991,0.14000000000000057,25.41
2026-01-01 00:31:00,27.02,43.39,23.76,1.0,17.42,2,25.48,24.69,27.27,25.19,25.05,26.58,25.73,24.666666666666668,1.5399999999999991,-1.4299999999999997,26.65
2026-01-01 00:32:00,26.08,44.84,34.72,3.02,15.93,2,27.02,25.48,24.69,23.76,25.19,25.05,26.19333333333333,27.89,-0.9400000000000013,10.959999999999997,26.45
2026-01-01 00:33:00,26.23,42.72,35.48,2.64,20.17,2,26.08,27.02,25.48,34.72,23.76,25.19,26.44333333333333,31.320000000000004,0.15000000000000213,0.759999999999998,26.51
2026-01-01 00:34:00,26.24,45.7,30.95,1.0,19.93,2,26.23,26.08,27.02,35.48,34.72,23.76,26.183333333333334,33.71666666666666,0.00999999999999801,-4.529999999999998,24.3
