timestamp,cpu_percent,memory_used_mib,network_rx_rate_mib_s,network_tx_rate_mib_s,resource_count,request_rate,latency_ms
2026-09-22 23:03:25,0.01,23.06,,,2.0,0.0,0.0
2026-09-22 23:03:35,0.02,23.06,,,2.0,0.0,0.0
2026-09-22 23:03:40,0.01,23.06,0.0,0.0,2.0,0.0,0.0
2026-09-22 23:03:50,0.03,23.06,,,2.0,0.0,0.0
2026-09-22 23:03:55,0.02,23.06,0.0,0.0,2.0,0.0,0.0
2026-09-22 23:04:00,0.02,23.06,0.0,0.0,2.0,0.4,184.8595
2026-09-22 23:04:05,14.96,24.08,0.0019999999999999575,0.0019999999999999575,2.0,2.0,152.8739
2026-09-22 23:04:15,13.3,24.05,,,2.0,2.0,147.02460000000002
2026-09-22 23:04:20,14.64,23.75,0.002000000000000046,0.002000000000000046,2.0,2.0,155.0502
2026-09-22 23:04:30,15.55,23.69,,,2.0,2.0,152.5452
2026-09-22 23:04:35,16.2,23.62,0.002000000000000046,0.0019999999999999575,2.0,2.0,151.044
2026-09-22 23:04:40,15.48,23.38,0.0019999999999999575,0.0,2.0,2.0,163.5015
2026-09-22 23:04:50,14.88,24.16,,,2.0,2.0,158.0042
2026-09-22 23:04:55,15.66,23.66,0.0019999999999999575,0.0019999999999999575,2.0,2.0,147.8308
2026-09-22 23:05:05,38.14,24.42,,,2.0,5.0,338.61271999999997
2026-09-22 23:05:10,39.36,24.24,0.0040000000000000036,0.0040000000000000036,2.0,5.0,369.8506
2026-09-22 23:05:15,37.13,23.88,0.0040000000000000036,0.0040000000000000036,2.0,5.0,352.15152
2026-09-22 23:05:25,42.48,24.18,,,2.0,5.0,350.55879999999996
2026-09-22 23:05:30,40.87,24.63,0.0040000000000000036,0.0019999999999999575,2.0,5.0,356.1576
2026-09-22 23:05:35,38.23,24.25,0.0040000000000000036,0.0040000000000000036,2.0,5.0,338.31892
2026-09-22 23:05:45,38.5,23.57,,,2.0,5.0,317.5566
2026-09-22 23:05:50,39.35,24.64,0.0019999999999999575,0.0040000000000000036,2.0,4.4,362.49372727272726
2026-09-22 23:06:00,37.99,24.12,,,2.0,6.4,428.64925
2026-09-22 23:06:05,76.77,24.92,0.005999999999999961,0.0060000000000000496,2.0,10.0,639.9335599999999
2026-09-22 23:06:10,79.69,24.8,0.009999999999999964,0.007999999999999919,2.0,9.6,611.246625
2026-09-22 23:06:20,81.36,24.5,,,2.0,9.6,635.605625
2026-09-22 23:06:25,80.95,24.13,0.008000000000000007,0.008000000000000007,2.0,10.4,644.7999038461538
2026-09-22 23:06:35,80.83,24.2,,,2.0,9.6,635.0822916666667
2026-09-22 23:06:40,80.21,24.36,0.008000000000000007,0.008000000000000007,2.0,9.8,652.9086938775511
2026-09-22 23:06:45,83.5,24.23,0.008000000000000007,0.008000000000000007,2.0,10.2,630.1232941176471
2026-09-22 23:06:55,86.42,24.52,,,2.0,10.0,793.54514
2026-09-22 23:07:00,92.39,24.64,0.008000000000000007,0.005999999999999961,2.0,9.6,580.131625
2026-09-22 23:07:05,0.02,23.34,0.0019999999999999575,0.0040000000000000036,2.0,0.0,0.0
2026-09-22 23:07:15,0.02,23.24,,,2.0,0.0,0.0
2026-09-22 23:07:20,0.02,23.24,0.0,0.0,2.0,0.0,0.0
2026-09-22 23:07:30,0.02,23.18,,,2.0,0.4,177.83350000000002
2026-09-22 23:07:35,17.29,24.71,0.002000000000000135,0.0,2.0,2.0,166.2759
2026-09-22 23:07:40,16.94,24.29,0.0019999999999999575,0.002000000000000046,2.0,2.0,172.6609
2026-09-22 23:07:50,16.49,24.08,,,2.0,2.0,169.27259999999998
2026-09-22 23:07:55,17.99,23.86,0.0019999999999999575,0.0019999999999999575,2.0,2.0,172.69549999999998
2026-09-22 23:08:00,17.07,24.74,0.0019999999999999575,0.002000000000000046,2.0,2.0,162.4505
2026-09-22 23:08:10,17.94,23.82,,,2.0,1.8,160.59866666666665
2026-09-22 23:08:15,16.54,23.38,0.0019999999999999575,0.002000000000000046,2.0,1.8,168.71922222222221
2026-09-22 23:08:25,17.58,23.13,,,2.0,2.0,164.2691
2026-09-22 23:08:30,17.96,23.87,0.0019999999999999575,0.0019999999999999575,2.0,2.0,155.7917
2026-09-22 23:08:40,89.13,24.27,,,2.0,10.0,694.2619599999999
2026-09-22 23:08:45,86.11,24.12,0.008000000000000007,0.008000000000000007,2.0,10.0,663.2022000000001
2026-09-22 23:08:50,86.72,24.04,0.008000000000000007,0.008000000000000007,2.0,10.0,660.10834
2026-09-22 23:08:55,88.92,23.61,0.009999999999999964,0.007999999999999919,2.0,10.0,651.496
2026-09-22 23:09:05,88.38,23.87,,,2.0,10.0,605.53764
2026-09-22 23:09:10,86.36,24.73,0.008000000000000007,0.008000000000000007,2.0,10.0,644.10144
2026-09-22 23:09:20,87.82,24.48,,,2.0,9.4,617.0390425531915
2026-09-22 23:09:25,88.53,24.26,0.008000000000000007,0.0060000000000000496,2.0,10.0,644.28324
2026-09-22 23:09:30,86.86,24.2,0.008000000000000007,0.008000000000000007,2.0,9.2,599.3030217391304
2026-09-22 23:09:40,0.01,23.3,,,2.0,0.0,0.0
2026-09-22 23:09:45,0.02,23.27,0.0,0.0,2.0,0.0,0.0
2026-09-22 23:09:55,0.02,23.09,,,2.0,0.0,0.0
2026-09-22 23:10:00,0.01,23.09,0.0,0.0,2.0,0.0,0.0
2026-09-22 23:10:10,37.11,24.02,,,2.0,5.0,318.59724
2026-09-22 23:10:15,37.9,23.31,0.003999999999999915,0.004000000000000092,2.0,5.0,306.84484
2026-09-22 23:10:20,39.73,24.2,0.004000000000000092,0.003999999999999915,2.0,5.0,320.32596
2026-09-22 23:10:30,40.96,23.98,,,2.0,5.0,303.10208
2026-09-22 23:10:35,37.93,24.07,0.0060000000000000496,0.003999999999999915,2.0,5.0,298.73472
2026-09-22 23:10:40,38.82,24.46,0.0019999999999999575,0.004000000000000092,2.0,5.0,318.20707999999996
2026-09-22 23:10:50,39.94,24.25,,,2.0,5.0,307.80644
2026-09-22 23:10:55,39.15,23.75,0.003999999999999915,0.004000000000000092,2.0,4.8,311.3582916666667
2026-09-22 23:11:05,37.43,23.76,,,2.0,10.2,583.9456274509804
